Date,Nombre de passages
2022-09-01,213753
2022-09-02,179204
2022-09-03,160417
2022-09-04,158885
2022-09-05,202184
2022-09-06,241387
2022-09-07,202618
2022-09-08,209413
2022-09-09,175499
2022-09-10,122160
2022-09-11,149358
2022-09-12,233104
2022-09-13,234355
2022-09-14,220482
2022-09-15,244788
2022-09-16,205424
2022-09-17,169235
2022-09-18,190221
2022-09-19,218557
2022-09-20,232441
2022-09-21,235788
2022-09-22,243236
2022-09-23,213871
2022-09-24,137465
2022-09-25,137376
2022-09-26,166156
2022-09-27,176471
2022-09-28,200358
2022-09-29,216074
2022-09-30,208048
2022-10-01,154462
2022-10-02,112104
2022-10-03,206377
2022-10-04,236920
2022-10-05,229888
2022-10-06,241882
2022-10-07,218617
2022-10-08,173615
2022-10-09,157847
2022-10-10,216587
2022-10-11,246089
2022-10-12,240956
2022-10-13,198938
2022-10-14,159615
2022-10-15,143680
2022-10-16,143496
2022-10-17,153653
2022-10-18,238284
2022-10-19,243158
2022-10-20,210159
2022-10-21,183975
2022-10-22,179119
2022-10-23,141536
2022-10-24,182689
2022-10-25,209521
2022-10-26,211216
2022-10-27,207169
2022-10-28,178506
2022-10-29,136408
2022-10-30,111922
2022-10-31,117096
2022-11-01,115341
2022-11-02,178600
2022-11-03,149218
2022-11-04,151428
2022-11-05,127604
2022-11-06,64627
2022-11-07,188928
2022-11-08,209103
2022-11-09,209953
2022-11-10,289558
2022-11-11,127681
2022-11-12,134433
2022-11-13,117233
2022-11-14,178837
2022-11-15,168882
2022-11-16,157210
2022-11-17,189775
2022-11-18,188839
2022-11-19,142875
2022-11-20,89266
2022-11-21,156054
2022-11-22,173080
2022-11-23,173035
2022-11-24,203117
2022-11-25,178253
2022-11-26,129031
2022-11-27,78526
2022-11-28,175382
2022-11-29,198548
2022-11-30,188340
2022-12-01,189730
2022-12-02,148343
2022-12-03,103420
2022-12-04,81882
2022-12-05,137200
2022-12-06,170373
2022-12-07,173192
2022-12-08,175615
2022-12-09,152912
2022-12-10,110621
2022-12-11,76938
2022-12-12,143427
2022-12-13,152267
2022-12-14,123163
2022-12-15,145468
2022-12-16,133461
2022-12-17,82857
2022-12-18,55740
2022-12-19,112572
2022-12-20,103706
2022-12-21,104714
2022-12-22,81779
2022-12-23,73551
2022-12-24,40051
2022-12-25,27286
2022-12-26,52033
2022-12-27,72297
2022-12-28,62242
2022-12-29,81532
2022-12-30,56095
2022-12-31,66603
2023-01-01,45970
2023-01-02,95920
2023-01-03,157930
2023-01-04,148201
2023-01-05,166582
2023-01-06,160983
2023-01-07,107074
2023-01-08,86329
2023-01-09,146003
2023-01-10,154042
2023-01-11,173498
2023-01-12,171530
2023-01-13,162623
2023-01-14,83179
2023-01-15,95881
2023-01-16,119295
2023-01-17,154065
2023-01-18,166060
2023-01-19,217847
2023-01-20,157738
2023-01-21,111353
2023-01-22,78436
2023-01-23,151504
2023-01-24,168686
2023-01-25,161071
2023-01-26,158790
2023-01-27,155371
2023-01-28,107146
2023-01-29,91429
2023-01-30,164402
2023-01-31,243635
2023-02-01,202349
2023-02-02,206371
2023-02-03,182364
2023-02-04,113404
2023-02-05,109036
2023-02-06,197990
2023-02-07,246803
2023-02-08,208791
2023-02-09,203768
2023-02-10,183189
2023-02-11,139977
2023-02-12,110876
